Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 308.74, 313.14, 305.27, 116.04,0.00
 308.62, 313.13, 305.33, 103.15,0.00
 308.77, 313.15, 305.25, 728.50,0.00
 308.73, 313.14, 305.27, 1202.34,0.00
 308.65, 313.14, 305.33, 157.95,0.00
 308.72, 313.15, 305.28, 145.05,0.00
 308.74, 313.14, 305.27, 132.16,0.00
 308.70, 313.15, 305.30, 103.15,0.00
 308.66, 313.14, 305.32, 164.40,0.00
 308.77, 313.14, 305.25, 103.15,0.00
 308.71, 313.15, 305.29, 38.68,0.00
 308.65, 313.13, 305.33, 116.04,0.00
 308.76, 313.15, 305.26, 103.15,0.00
 308.70, 313.15, 305.29, 157.95,0.00
 308.68, 313.14, 305.31, 122.49,0.00
 308.71, 313.15, 305.29, 12.89,0.00
 308.74, 313.13, 305.26, 122.49,0.00
 308.68, 313.15, 305.30, 174.07,0.00
 308.70, 313.13, 305.29, 0.00,0.00
 308.76, 313.15, 305.26, 209.52,0.00
 308.68, 313.13, 305.33, 35.46,0.00
 308.70, 313.14, 305.29, 64.47,0.00
 308.72, 313.15, 305.28, 0.00,0.00
 308.72, 313.14, 305.28, 77.36,0.00
 308.68, 313.14, 305.31, 58.02,0.00
 308.72, 313.14, 305.28, 70.92,0.00
 308.74, 313.14, 305.26, 70.92,0.00
 308.66, 313.15, 305.33, 54.80,0.00
 308.72, 313.14, 305.28, 83.81,0.00
 308.73, 313.15, 305.27, 145.05,0.00
 308.70, 313.14, 305.30, 93.48,0.00
 308.71, 313.14, 305.29, 93.48,0.00
 308.72, 313.15, 305.29, 45.13,0.00
 308.71, 313.15, 305.29, 96.70,0.00
 308.69, 313.15, 305.29, 116.04,0.00
 308.72, 313.14, 305.29, 77.36,0.00
 308.72, 313.14, 305.28, 87.03,0.00
 308.69, 313.15, 305.31, 96.70,0.00
 308.70, 313.15, 305.29, 103.15,0.00
 308.72, 313.15, 305.28, 135.38,0.00
 308.71, 313.14, 305.30, 51.58,0.00
 308.70, 313.15, 305.30, 70.92,0.00
 308.70, 313.15, 305.29, 64.47,0.00
 308.71, 313.15, 305.29, 54.80,0.00
 308.70, 313.15, 305.29, 77.36,0.00
 308.73, 313.13, 305.27, 87.03,0.00
 308.70, 313.14, 305.30, 74.14,0.00
 308.70, 313.14, 305.31, 77.36,0.00
 308.72, 313.15, 305.28, 90.26,0.00
 308.72, 313.15, 305.28, 132.16,0.00
 308.70, 313.15, 305.29, 90.26,0.00
 308.70, 313.15, 305.31, 112.82,0.00
 308.73, 313.14, 305.29, 64.47,0.00
 308.72, 313.15, 305.30, 103.15,0.00
 308.70, 313.14, 305.30, 138.61,0.00
 308.71, 313.14, 305.27, 161.17,0.00
 308.71, 313.15, 305.28, 96.70,0.00
 308.69, 313.13, 305.28, 0.00,0.00
 308.72, 313.14, 305.30, 67.69,0.00
 308.70, 313.15, 305.30, 135.38,0.00
 308.72, 313.15, 305.31, 141.83,0.00
 308.72, 313.13, 305.33, 138.61,0.00
 308.74, 313.15, 305.31, 167.62,0.00
 308.70, 313.14, 305.32, 228.86,0.00
 308.63, 313.18, 305.23, 312.67,0.00
 308.70, 313.12, 305.29, 364.25,0.08
 308.62, 313.15, 305.27, 396.48,0.00
 308.56, 313.19, 305.29, 509.30,0.00
 308.69, 313.10, 305.34, 547.99,0.00
 308.66, 313.09, 305.09, 676.92,0.08
 308.64, 313.17, 305.25, 738.17,0.08
 308.82, 313.05, 305.50, 828.42,0.00
 308.67, 313.22, 305.02, 954.14,0.08
 309.00, 313.00, 305.54, 1147.55,0.08
 308.47, 313.07, 305.09, 1311.94,0.08
 308.18, 313.04, 304.98, 1479.56,0.08
 305.51, 345.27, 305.06, 780.07,5.52
 309.18, 319.83, 306.69, 1002.49,0.23
 308.71, 335.02, 303.05, 831.65,12.27
 309.67, 295.57, 307.65, 1015.38,6.21
 308.60, 307.42, 302.92, 1237.80,2.84
 308.69, 314.31, 305.92, 1018.61,13.57
 308.24, 330.16, 304.88, 928.35,11.58
 309.06, 291.43, 306.52, 960.59,14.11
 309.67, 307.84, 304.03, 1153.99,2.99
 308.17, 317.55, 305.72, 1060.51,13.72
 307.88, 337.15, 304.58, 854.21,14.64
 309.94, 292.74, 306.51, 912.23,17.32
 309.35, 306.42, 304.17, 1173.33,5.14
 308.66, 318.97, 306.12, 1018.61,14.57
 307.64, 332.01, 303.22, 925.13,16.25
 310.31, 287.87, 306.98, 902.56,0.77
 309.12, 305.18, 303.56, 1121.76,10.66
 308.63, 321.10, 306.37, 1005.71,5.90
 307.74, 336.97, 302.68, 896.12,18.78
 310.48, 287.21, 306.84, 983.15,2.68
 310.38, 287.31, 306.93, 1150.77,14.72
 309.13, 305.90, 303.57, 992.82,0.54
 309.05, 320.56, 306.75, 841.32,19.09
 307.82, 333.36, 302.67, 996.04,10.27
 310.45, 286.40, 306.51, 1118.53,7.59
 309.29, 305.57, 303.47, 1002.49,17.32
 308.85, 320.53, 306.26, 838.10,14.87
 307.85, 332.99, 302.77, 973.48,16.71
 310.55, 286.21, 306.02, 1179.78,1.30
 309.35, 305.38, 303.62, 1002.49,18.17
 309.04, 320.86, 306.45, 867.11,11.35
 308.04, 334.05, 302.99, 931.58,17.71
 310.40, 287.19, 305.90, 1137.88,2.45
 309.47, 305.48, 303.53, 1037.95,15.03
 308.92, 320.63, 306.10, 867.11,16.94
 308.36, 334.61, 303.50, 947.69,0.69
 310.82, 287.24, 305.79, 1131.43,11.27
 309.67, 306.06, 303.72, 996.04,6.36
 309.10, 320.25, 306.21, 883.22,17.40
 308.34, 335.21, 303.28, 925.13,4.68
 310.34, 288.89, 306.29, 1124.98,12.42
 309.66, 306.89, 303.61, 1018.61,0.84
 309.27, 318.19, 305.92, 931.58,16.10
 308.73, 334.29, 304.61, 863.88,15.25
 309.32, 306.83, 305.10, 1095.97,1.69
 309.57, 310.42, 303.70, 1031.50,17.94
 309.49, 311.67, 304.74, 892.89,6.82
 309.33, 321.15, 306.30, 850.99,16.41
 308.94, 326.68, 303.91, 1057.29,8.13
 309.87, 297.53, 306.06, 1092.75,9.81
 309.67, 308.82, 304.24, 1002.49,17.17
 309.47, 318.93, 306.15, 812.31,16.56
 308.70, 331.18, 303.17, 941.25,15.95
 310.54, 285.00, 305.94, 1144.32,1.15
 309.72, 308.23, 303.98, 1124.98,18.02
 309.50, 317.76, 305.28, 912.23,13.49
 308.93, 338.08, 304.29, 728.50,18.63
 309.89, 304.56, 304.93, 1089.52,10.43
 310.65, 301.47, 305.63, 1115.31,5.06
 309.76, 311.35, 304.42, 947.69,18.40
 309.55, 318.96, 305.79, 915.46,8.13
 309.11, 329.40, 303.56, 931.58,19.17
 310.29, 294.00, 305.65, 1144.32,3.29
 309.93, 307.11, 303.89, 1018.61,12.42
 309.58, 319.04, 305.56, 1066.96,17.48
 308.78, 334.71, 303.53, 870.33,1.00
 310.25, 289.61, 305.72, 1141.10,15.18
 310.18, 307.85, 303.85, 1008.94,1.53
 309.74, 315.25, 305.11, 957.36,17.10
 309.11, 330.25, 304.59, 876.78,10.96
 309.87, 313.36, 304.66, 1025.05,4.68
 310.47, 310.09, 304.24, 1066.96,6.21
 310.00, 311.86, 304.43, 983.15,8.66
 309.58, 315.81, 305.51, 783.30,18.25
 309.26, 324.58, 303.36, 402.93,3.60
 310.79, 286.39, 305.12, 1128.21,18.94
 310.14, 309.00, 304.05, 1021.83,1.07
 309.64, 318.50, 305.13, 963.81,14.41
 309.34, 337.94, 304.32, 805.86,18.09
 310.31, 298.27, 304.98, 1070.18,0.46
 310.52, 307.28, 304.31, 1057.29,16.25
 310.11, 313.54, 304.37, 957.36,2.84
 309.96, 322.75, 306.31, 883.22,14.87
 309.33, 324.75, 303.73, 973.48,12.65
 310.15, 308.19, 305.75, 789.74,7.05
 310.33, 309.30, 304.09, 976.70,5.60
 309.73, 318.61, 305.52, 838.10,14.11
 309.35, 329.56, 303.18, 880.00,15.26
 311.04, 285.23, 305.54, 1124.98,2.38
 310.42, 309.14, 303.97, 1018.61,16.63
 309.91, 317.89, 305.33, 963.81,2.15
 309.54, 339.30, 304.11, 789.74,19.78
 310.86, 292.11, 305.01, 1118.53,11.35
 311.24, 282.95, 304.95, 1137.88,4.60
 310.56, 308.42, 303.75, 912.23,20.62
 309.90, 320.21, 305.71, 831.65,10.66
 309.55, 337.75, 303.11, 934.80,19.01
 311.28, 288.38, 305.37, 780.07,1.76
 310.85, 306.16, 303.73, 1008.94,15.02
 310.26, 318.56, 305.29, 725.27,21.39
 309.20, 332.10, 303.01, 844.54,16.64
 311.10, 286.11, 304.99, 1115.31,15.56
 310.94, 306.73, 303.64, 838.10,5.52
 309.96, 319.22, 304.94, 867.11,15.48
 309.85, 336.19, 304.46, 773.63,9.58
 311.16, 292.48, 305.04, 1141.10,17.48
 311.18, 308.88, 303.59, 960.59,1.99
 310.37, 314.19, 304.49, 892.89,17.86
 310.10, 328.20, 305.22, 825.20,14.95
 310.07, 317.04, 303.70, 1089.52,1.61
 311.05, 311.94, 303.95, 983.15,9.51
 310.65, 312.55, 304.27, 970.26,6.36
 310.09, 317.13, 304.92, 738.17,21.31
 310.53, 310.22, 303.58, 1060.51,3.30
 310.63, 301.79, 305.80, 1047.62,14.26
 310.92, 308.93, 303.69, 876.78,0.31
 310.40, 318.98, 305.50, 825.20,15.79
 310.10, 337.61, 304.03, 915.46,20.01
 311.25, 303.34, 305.64, 1015.38,1.84
 311.20, 308.43, 303.54, 912.23,18.32
 310.16, 319.73, 305.39, 760.73,10.27
 310.08, 331.34, 303.02, 909.01,18.78
 311.80, 282.60, 305.18, 1124.98,3.83
 311.38, 306.71, 303.24, 918.68,17.10
 310.12, 320.54, 305.23, 747.84,17.86
 310.43, 339.97, 303.38, 1937.29,20.77
 311.77, 287.00, 304.94, 1083.08,12.42
 311.33, 305.41, 303.28, 1021.83,5.29
 310.61, 320.09, 305.16, 754.29,23.69
 310.28, 334.27, 303.23, 857.44,4.45
 311.72, 281.51, 304.39, 1108.86,21.77
 311.56, 305.76, 303.53, 883.22,0.46
 310.50, 321.00, 304.83, 876.78,18.17
 310.29, 344.66, 303.35, 722.05,19.24
 311.89, 282.11, 304.51, 1092.75,2.68
 311.84, 304.87, 303.25, 1917.95,8.28
 310.63, 320.93, 304.83, 912.23,10.12
 310.22, 345.64, 303.61, 709.16,24.69
 311.74, 286.11, 305.01, 1137.88,0.38
 311.62, 312.35, 302.57, 857.44,19.16
 310.55, 321.92, 304.90, 880.00,2.30
 310.88, 319.55, 305.01, 709.16,22.31
 310.03, 337.39, 304.32, 1050.84,10.73
 311.59, 283.92, 304.19, 902.56,11.88
 312.28, 304.60, 303.26, 828.42,18.93
 310.66, 319.93, 305.22, 705.93,17.94
 310.95, 334.99, 304.53, 1089.52,18.55
 312.18, 285.33, 304.86, 892.89,3.60
 312.38, 304.22, 303.29, 841.32,18.09
 310.68, 320.50, 305.12, 680.15,11.19
 311.16, 319.03, 303.36, 1092.75,15.79
 311.57, 301.13, 304.18, 854.21,4.52
 312.04, 306.48, 303.58, 776.85,18.47
 310.64, 320.78, 304.91, 863.88,10.96
 311.56, 319.45, 303.50, 1050.84,8.05
 312.16, 314.47, 304.03, 792.97,0.38
 311.68, 315.04, 304.15, 763.96,15.56
 310.64, 314.86, 304.61, 831.65,23.00
 311.23, 287.22, 305.06, 931.58,2.15
 312.64, 304.65, 303.46, 889.67,16.71
 311.21, 320.21, 304.19, 699.49,16.10
 310.16, 338.30, 302.91, 1012.16,19.78
 311.79, 284.67, 305.24, 915.46,0.84
 312.59, 303.36, 303.26, 815.53,19.32
 311.35, 321.15, 304.62, 705.93,13.65
 310.20, 338.69, 302.67, 957.36,18.86
 312.31, 285.23, 304.87, 889.67,2.91
 312.38, 305.36, 303.46, 805.86,16.71
 311.26, 319.84, 304.34, 554.43,21.85
 310.75, 330.13, 302.46, 854.21,1.38
 312.12, 291.46, 305.24, 899.34,16.86
 312.23, 308.24, 303.60, 705.93,6.82
 311.38, 320.09, 304.47, 757.51,16.41
 310.78, 341.48, 303.79, 915.46,7.05
 312.30, 289.38, 304.90, 841.32,16.87
 312.50, 306.79, 303.40, 770.40,2.68
 311.71, 318.50, 304.11, 609.23,22.69
 311.16, 328.79, 302.60, 934.80,10.27
 312.56, 286.97, 304.84, 651.14,7.05
 312.39, 305.83, 303.56, 722.05,22.31
 311.75, 321.54, 304.11, 670.48,14.72
 311.60, 343.06, 303.33, 883.22,23.23
 312.51, 289.15, 304.58, 870.33,0.46
 312.69, 304.55, 303.44, 799.41,17.09
 311.79, 318.33, 304.35, 589.89,17.25
 312.00, 332.32, 302.79, 970.26,17.78
 312.57, 286.15, 304.20, 967.03,6.98
 312.48, 306.79, 303.69, 809.08,15.03
 311.82, 320.59, 304.21, 683.37,19.01
 312.39, 339.46, 303.07, 899.34,1.00
 313.03, 284.38, 303.94, 954.14,16.86
 312.29, 305.15, 303.22, 699.49,5.06
 311.51, 323.11, 304.33, 635.02,15.79
 312.08, 347.82, 303.12, 938.02,7.44
 312.73, 292.05, 304.83, 867.11,15.56
 312.70, 302.86, 303.16, 789.74,1.92
 311.39, 323.17, 304.36, 644.69,19.70
 311.88, 338.61, 302.81, 941.25,13.88
 311.92, 295.52, 305.15, 876.78,7.28
 313.02, 304.92, 303.70, 863.88,17.63
 311.56, 321.17, 304.34, 644.69,17.71
 312.01, 325.35, 303.04, 1015.38,15.56
 313.00, 280.73, 304.40, 1070.18,1.76
 312.91, 306.59, 303.58, 751.06,22.54
 311.66, 325.23, 304.84, 631.79,8.05
 311.60, 333.55, 303.31, 992.82,18.78
 312.51, 294.56, 305.40, 867.11,1.99
 312.76, 307.36, 303.64, 738.17,18.40
 311.94, 321.77, 304.77, 741.39,15.48
 311.89, 325.54, 303.09, 1037.95,22.54
 313.04, 313.84, 303.09, 786.52,5.90
 312.58, 310.40, 303.75, 789.74,11.34
 312.20, 316.98, 304.30, 615.68,22.92
 312.06, 306.02, 303.26, 1021.83,0.46
 312.96, 306.25, 304.44, 892.89,18.17
 312.40, 311.16, 303.79, 776.85,2.61
 312.13, 333.08, 304.84, 696.26,22.23
 312.71, 300.22, 303.21, 1015.38,4.22
 313.19, 309.11, 303.64, 909.01,14.57
 312.38, 314.96, 304.19, 767.18,0.38
 312.39, 325.79, 305.17, 660.81,21.00
 312.82, 294.56, 304.07, 1037.95,11.81
 313.41, 307.05, 303.49, 889.67,6.13
 312.50, 316.64, 304.06, 667.25,23.46
 312.43, 334.85, 303.43, 815.53,14.26
 312.58, 301.54, 303.25, 1044.40,23.30
 312.94, 308.78, 303.69, 744.62,0.15
 312.70, 317.49, 304.39, 686.59,17.79
 311.97, 332.56, 304.55, 786.52,14.64
 313.11, 297.24, 303.58, 1070.18,22.00
 313.21, 308.35, 303.77, 799.41,2.61
 312.55, 319.35, 304.32, 709.16,15.41
 312.63, 335.84, 304.18, 696.26,21.31
 313.17, 289.90, 304.68, 1015.38,0.08
 313.18, 305.44, 303.57, 825.20,13.26
 312.67, 319.48, 304.23, 693.04,5.90
 312.51, 342.21, 303.34, 722.05,21.23
 314.15, 285.89, 304.57, 1015.38,2.22
 313.41, 304.23, 303.55, 896.12,14.80
 312.87, 318.78, 304.57, 647.91,0.31
 312.93, 333.78, 302.96, 776.85,16.94
 313.56, 289.89, 303.33, 1057.29,14.87
 313.15, 307.21, 303.68, 857.44,5.06
 312.86, 319.60, 304.16, 683.37,21.00
 312.60, 333.43, 303.12, 809.08,16.79
 313.43, 280.18, 303.23, 1054.07,20.70
 313.47, 304.14, 303.76, 1112.09,0.38
 312.84, 322.11, 304.05, 664.03,18.09
 313.16, 340.93, 302.84, 809.08,11.50
 313.82, 280.58, 303.44, 1047.62,20.93
 313.41, 304.47, 303.90, 763.96,1.76
 312.82, 322.77, 303.79, 702.71,16.10
 312.99, 345.96, 303.64, 709.16,23.30
 313.15, 291.62, 304.30, 979.93,0.77
 313.65, 304.03, 303.76, 909.01,16.79
 313.04, 318.30, 304.21, 625.35,6.36
 313.71, 328.21, 303.41, 506.08,18.78
 313.17, 281.72, 303.57, 1050.84,2.07
 313.57, 303.80, 303.56, 828.42,17.25
 312.97, 322.23, 303.78, 593.11,1.07
 313.42, 329.78, 303.30, 767.18,16.94
 313.74, 278.95, 303.79, 973.48,13.65
 313.83, 305.19, 303.97, 834.87,7.51
 313.83, 305.26, 303.95, 657.58,20.77
 312.86, 322.23, 304.02, 805.86,16.87
 313.36, 341.29, 303.37, 1031.50,20.09
 313.94, 283.33, 303.61, 867.11,0.84
 313.93, 305.13, 303.93, 628.57,20.93
 312.95, 321.62, 303.83, 796.19,10.50
 313.66, 342.03, 303.47, 1066.96,21.70
 313.61, 289.92, 304.15, 802.64,1.99
 314.11, 305.24, 303.85, 751.06,16.02
 313.15, 321.39, 303.79, 712.38,22.00
 313.48, 329.25, 303.07, 1047.62,0.54
 312.96, 304.26, 304.19, 847.77,2.53
 313.70, 313.67, 303.14, 863.88,9.35
 314.25, 284.04, 304.14, 947.69,2.30
 313.92, 309.60, 303.81, 622.12,20.08
 312.86, 329.28, 305.12, 896.12,5.44
 314.07, 313.81, 303.28, 954.14,15.95
 313.83, 309.36, 304.05, 838.10,0.54
 313.52, 309.98, 303.66, 670.48,18.17
 313.66, 317.96, 304.51, 886.45,15.25
 313.94, 314.04, 303.25, 944.47,3.22
 313.83, 305.56, 304.15, 876.78,7.59
 313.37, 310.78, 303.64, 857.44,12.57
 313.71, 318.83, 304.74, 902.56,17.25
 313.61, 319.60, 303.05, 1002.49,0.69
 313.98, 309.17, 303.74, 812.31,20.09
 313.86, 309.78, 303.63, 680.15,2.99
 313.72, 317.85, 304.19, 767.18,19.47
 313.36, 323.30, 303.07, 967.03,9.81
 313.85, 307.65, 304.10, 812.31,10.43
 313.90, 308.48, 303.67, 689.82,17.40
 313.73, 318.65, 304.08, 754.29,19.01
 313.49, 320.11, 303.09, 892.89,16.02
 313.94, 283.76, 304.49, 886.45,2.15
 314.29, 307.67, 303.78, 628.57,22.69
 313.37, 319.89, 304.34, 802.64,9.97
 314.11, 340.38, 303.37, 996.04,22.00
 314.09, 290.30, 304.74, 796.19,4.06
 314.32, 305.81, 303.88, 705.93,15.41
 313.53, 321.38, 303.87, 751.06,16.87
 314.91, 311.45, 303.21, 938.02,0.15
 314.19, 317.29, 303.07, 773.63,7.28
 313.84, 310.37, 303.91, 767.18,6.44
 314.10, 316.30, 304.02, 654.36,21.39
 314.45, 298.58, 303.53, 938.02,0.23
 314.07, 311.33, 303.98, 809.08,17.17
 313.72, 314.92, 303.69, 699.49,3.07
 314.12, 318.21, 304.60, 664.03,19.55
 314.28, 295.80, 303.75, 915.46,4.06
 314.12, 307.63, 303.94, 760.73,11.42
 313.78, 315.87, 303.90, 635.02,18.55
 314.32, 333.98, 304.34, 950.92,16.79
 314.21, 297.56, 303.59, 938.02,12.95
 314.16, 307.08, 303.85, 863.88,2.99
 314.07, 317.64, 303.73, 664.03,18.32
 314.00, 336.07, 303.90, 979.93,3.76
 314.40, 293.95, 303.01, 947.69,20.24
 314.33, 307.40, 303.81, 941.25,0.00
 314.16, 319.84, 304.09, 702.71,15.18
 314.14, 336.26, 304.61, 915.46,17.94
 314.42, 288.86, 304.28, 531.87,3.83
 314.48, 306.47, 303.65, 834.87,7.28
 314.28, 317.65, 303.74, 644.69,12.27
 313.95, 338.74, 303.85, 876.78,21.77
 314.51, 293.00, 303.71, 996.04,0.31
 314.89, 307.14, 303.42, 889.67,17.32
 314.08, 313.53, 303.93, 686.59,1.23
 314.06, 327.28, 305.04, 850.99,18.70
 314.62, 312.30, 302.77, 1050.84,11.65
 314.61, 311.99, 303.33, 847.77,7.74
 314.13, 311.11, 303.81, 686.59,17.71
 314.40, 325.64, 305.19, 857.44,14.18
 314.27, 313.72, 302.95, 1044.40,20.62
 314.38, 310.88, 303.97, 780.07,0.61
 314.16, 315.39, 303.63, 728.50,15.33
 314.60, 315.39, 304.57, 770.40,10.88
 314.40, 302.84, 303.37, 967.03,18.40
 314.29, 309.67, 304.08, 828.42,1.07
 314.36, 316.21, 303.79, 683.37,16.41
 314.51, 322.45, 305.22, 796.19,17.86
 314.34, 298.45, 303.31, 967.03,1.00
 314.50, 307.68, 303.87, 873.55,11.50
 314.42, 315.32, 303.70, 834.87,8.43
 314.39, 321.68, 303.90, 873.55,15.64
 314.05, 343.63, 303.68, 1060.51,3.45
 314.00, 298.47, 304.98, 854.21,15.95
 314.65, 304.76, 303.99, 744.62,2.38
 314.29, 322.15, 303.52, 776.85,19.01
 314.46, 337.06, 303.53, 1034.73,11.65
 313.38, 294.55, 304.36, 809.08,7.90
 314.63, 304.99, 304.13, 809.08,4.22
 314.30, 320.82, 303.50, 734.95,17.79
 314.48, 329.53, 303.49, 1008.94,15.72
 315.25, 276.21, 304.01, 867.11,1.15
 314.59, 305.61, 304.01, 676.92,22.38
 314.53, 321.63, 303.74, 725.27,5.75
 314.38, 348.04, 303.92, 1005.71,21.46
 314.90, 284.01, 303.82, 802.64,4.75
 314.63, 305.11, 304.01, 670.48,12.80
 314.49, 319.17, 303.84, 625.35,18.86
 314.67, 342.76, 304.03, 976.70,20.24
 314.97, 285.17, 303.92, 825.20,16.02
 314.82, 306.30, 303.78, 751.06,1.69
 314.72, 317.12, 303.59, 583.44,19.39
 314.60, 339.42, 303.72, 957.36,10.96
 315.05, 291.87, 303.47, 834.87,15.79
 314.71, 307.21, 304.04, 776.85,2.68
 314.68, 317.95, 303.54, 573.77,15.72
 314.76, 335.27, 304.39, 928.35,15.64
 315.09, 293.21, 303.23, 676.92,0.69
 314.76, 307.21, 303.96, 635.02,7.36
 314.51, 320.48, 303.73, 918.68,6.82
 315.04, 324.08, 305.31, 786.52,21.39
 315.82, 286.25, 303.94, 754.29,1.00
 314.71, 306.00, 303.90, 618.90,15.64
 314.80, 320.24, 303.72, 915.46,0.69
 315.05, 341.54, 304.20, 812.31,20.32
 314.89, 335.43, 303.65, 809.08,8.74
 314.58, 295.55, 302.67, 606.01,7.13
 314.71, 307.92, 304.03, 941.25,21.23
 314.79, 318.16, 303.93, 960.59,14.11
 314.84, 327.81, 305.22, 722.05,21.31
 314.98, 300.35, 302.88, 602.78,0.23
 315.02, 310.21, 303.88, 773.63,20.16
 314.86, 313.19, 303.89, 989.60,15.48
 314.92, 316.71, 304.00, 738.17,21.62
 315.00, 312.53, 303.24, 683.37,8.20
 314.59, 296.11, 305.67, 741.39,8.82
 314.82, 309.05, 304.18, 967.03,22.31
 314.91, 321.80, 304.12, 876.78,1.53
 315.01, 337.68, 303.99, 676.92,22.38
 315.28, 313.22, 304.04, 744.62,0.00
 315.53, 313.69, 303.90, 889.67,14.80
 315.20, 322.23, 303.95, 718.83,3.68
 315.30, 307.22, 303.33, 760.73,13.34
 314.27, 299.56, 305.20, 751.06,4.29
 315.22, 312.58, 303.80, 999.27,17.17
 315.20, 330.05, 304.93, 802.64,15.79
 315.06, 310.96, 303.91, 725.27,2.07
 315.46, 307.71, 304.35, 754.29,16.64
 315.08, 311.60, 303.77, 1025.05,5.44
 315.30, 317.81, 303.98, 780.07,19.17
 315.12, 319.75, 303.13, 741.39,3.06
 314.32, 287.91, 304.59, 635.02,13.42
 315.27, 308.68, 304.13, 1066.96,21.16
 315.09, 320.50, 303.82, 880.00,17.25
 315.09, 335.33, 304.01, 667.25,18.24
 314.43, 301.60, 305.18, 641.47,2.84
 314.98, 305.70, 304.31, 979.93,16.25
 315.38, 318.89, 303.53, 886.45,12.19
 314.71, 332.93, 303.80, 802.64,17.40
 316.27, 277.67, 303.22, 547.99,3.91
 314.90, 306.03, 304.48, 970.26,17.02
 315.48, 320.15, 303.40, 947.69,16.87
 315.23, 345.63, 304.08, 828.42,0.84
 315.87, 288.41, 303.62, 689.82,14.72
 315.68, 307.68, 303.83, 767.18,2.91
 315.36, 312.82, 303.87, 1012.16,19.70
