Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
312.96,313.14,303.88,103.15,0.0,0.0
313.01,313.15,303.87,74.14,0.0,0.0
312.97,313.15,303.88,112.82,0.0,0.0
313.0,313.14,303.88,54.8,0.0,1.6666666666670458
312.99,313.14,303.88,70.92,0.0,-1.6666666666670458
312.97,313.14,303.88,106.37,0.0,0.0
313.0,313.14,303.88,106.37,0.0,0.0
312.98,313.15,303.88,0.0,0.0,0.0
312.98,313.14,303.88,119.27,0.0,0.0
313.0,313.14,303.89,145.05,0.0,1.6666666666670458
312.97,313.15,303.89,125.71,0.0,-1.6666666666670458
313.0,313.14,303.88,122.49,0.0,1.6666666666670458
312.97,313.15,303.88,161.17,0.0,-1.6666666666670458
312.97,313.14,303.88,164.4,0.0,0.0
313.01,313.14,303.89,174.07,0.0,1.6666666666670458
312.97,313.15,303.88,125.71,0.0,0.0
312.99,313.14,303.89,80.59,0.0,0.0
313.0,313.14,303.88,112.82,0.0,0.0
312.99,313.14,303.89,151.5,0.0,0.0
312.99,313.14,303.88,116.04,0.0,0.0
312.96,313.15,303.89,154.73,0.0,-1.6666666666670458
313.0,313.14,303.87,103.15,0.0,0.0
312.97,313.15,303.88,122.49,0.0,0.0
312.99,313.12,303.88,151.5,0.0,1.6666666666670458
313.0,313.16,303.89,103.15,0.0,-1.6666666666670458
312.97,313.13,303.88,138.61,0.0,0.0
313.0,313.13,303.88,106.37,0.0,0.0
313.0,313.15,303.88,164.4,0.0,1.6666666666670458
313.0,313.13,303.88,125.71,0.0,0.0
312.98,313.16,303.89,157.95,0.0,0.0
312.98,313.14,303.88,0.0,0.0,0.0
313.02,313.14,303.88,51.58,0.0,0.0
312.96,313.14,303.88,87.03,0.0,-1.6666666666670458
312.98,313.13,303.88,106.37,0.0,1.6666666666670458
313.01,313.15,303.88,125.71,0.0,-1.6666666666670458
312.98,313.13,303.89,125.71,0.0,0.0
312.98,313.15,303.88,83.81,0.0,0.0
312.99,313.13,303.88,103.15,0.0,0.0
313.0,313.15,303.89,141.83,0.0,1.6666666666670458
312.97,313.15,303.88,154.73,0.0,0.0
312.99,313.13,303.88,0.0,0.0,-1.6666666666670458
313.0,313.15,303.88,16.12,0.0,0.0
312.98,313.13,303.89,199.85,0.0,1.6666666666670458
