Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
313.12,313.14,303.87,141.83,0.0,0.0
313.15,313.15,303.86,90.26,-0.07,0.0
313.16,313.15,303.85,77.36,0.07,0.0
313.11,313.14,303.87,77.36,0.0,0.0
313.15,313.15,303.87,93.48,0.0,0.0
313.13,313.15,303.86,119.27,0.0,0.0
313.14,313.15,303.87,19.34,0.0,0.0
313.13,313.15,303.85,77.36,0.0,0.0
313.14,313.15,303.87,64.47,0.0,1.6666666666660983
313.14,313.14,303.86,35.46,0.0,-1.6666666666660983
313.13,313.15,303.86,116.04,0.0,0.0
313.15,313.15,303.88,87.03,0.0,0.0
313.15,313.14,303.87,67.69,-0.07,0.0
313.12,313.15,303.87,70.92,0.07,1.6666666666660983
313.15,313.15,303.87,87.03,0.0,0.0
313.13,313.15,303.87,122.49,0.0,-1.6666666666660983
313.15,313.14,303.86,132.16,-0.07,1.6666666666660983
313.12,313.14,303.86,96.7,0.07,0.0
313.15,313.15,303.86,83.81,0.0,0.0
313.13,313.14,303.86,74.14,0.0,0.0
313.13,313.15,303.87,132.16,0.0,0.0
313.16,313.14,303.85,109.6,0.0,-1.6666666666660983
313.1,313.15,303.87,109.6,0.0,0.0
313.16,313.15,303.85,93.48,0.0,1.6666666666660983
313.15,313.15,303.86,64.47,0.0,-1.6666666666660983
313.13,313.14,303.87,116.04,0.0,1.6666666666660983
313.14,313.15,303.87,106.37,-0.07,0.0
313.13,313.14,303.86,109.6,0.07,-1.6666666666660983
313.15,313.15,303.87,90.26,0.0,1.6666666666660983
313.13,313.15,303.87,83.81,0.07,0.0
313.14,313.14,303.87,135.38,0.0,0.0
313.15,313.15,303.86,96.7,0.0,0.0
313.11,313.13,303.86,96.7,-0.07,0.0
313.14,313.15,303.86,45.13,0.07,0.0
313.14,313.14,303.86,58.02,0.0,0.0
313.14,313.14,303.87,83.81,0.0,0.0
313.14,313.15,303.87,138.61,-0.07,0.0
313.12,313.14,303.87,99.93,0.0,0.0
313.16,313.15,303.87,99.93,0.07,-1.6666666666660983
313.14,313.14,303.87,25.79,0.0,0.0
313.13,313.15,303.86,96.7,-0.07,1.6666666666660983
313.15,313.15,303.86,83.81,0.07,0.0
313.13,313.14,303.86,87.03,0.0,0.0
313.15,313.15,303.86,64.47,0.0,0.0
313.11,313.14,303.86,67.69,0.0,0.0
313.15,313.15,303.85,119.27,-0.07,0.0
313.13,313.15,303.88,90.26,0.07,0.0
313.13,313.15,303.85,90.26,0.0,0.0
313.15,313.15,303.87,9.67,0.0,-1.6666666666660983
313.14,313.15,303.87,58.02,0.0,0.0
313.14,313.15,303.86,80.59,0.0,1.6666666666660983
313.13,313.15,303.85,90.26,0.0,0.0
313.15,313.15,303.86,145.05,0.0,-1.6666666666660983
313.12,313.15,303.83,116.04,0.0,1.6666666666660983
313.12,313.14,303.84,161.17,0.0,0.0
313.13,313.14,303.82,199.85,0.0,0.0
313.15,313.15,303.89,199.85,0.0,-1.6666666666660983
313.15,313.14,303.85,241.76,0.0,0.0
313.14,313.1,303.87,261.1,0.08,0.0
313.16,313.15,303.97,348.13,0.0,0.0
313.07,313.11,303.9,441.61,0.07,0.0
313.09,313.08,303.94,577.0,0.08,0.0
313.18,313.01,303.87,0.0,0.0,1.6666666666660983
313.17,313.13,303.83,628.57,0.07,0.0
313.37,313.18,303.72,767.18,0.07,0.0
313.13,313.31,303.69,921.9,0.0,0.0
312.99,313.15,303.7,1060.51,0.08,0.0
313.04,313.07,304.1,1153.99,0.07,0.0
313.11,313.17,303.73,1360.29,0.08,0.0
314.18,308.9,302.99,1289.38,4.52,0.0
313.56,308.55,303.03,931.58,10.65,0.0
312.12,287.6,303.0,1031.5,0.31,0.0
314.03,309.72,302.8,1083.08,12.72,0.0
312.32,319.12,305.31,1028.28,4.76,0.0
312.91,332.66,301.98,915.46,13.42,0.0
312.62,301.66,306.32,1141.1,2.53,0.0
314.02,307.11,302.75,1205.57,11.57,-1.6666666666660983
312.33,322.81,305.38,1047.62,14.72,1.6666666666660983
312.6,328.94,302.37,905.79,0.85,-1.6666666666660983
313.76,304.76,305.28,1025.05,11.27,0.0
313.43,307.54,303.11,1179.78,5.36,0.0
312.64,319.14,305.71,1018.61,18.94,0.0
312.87,322.09,302.77,909.01,3.52,1.6666666666660983
313.78,309.94,303.7,1092.75,16.64,11.666666666666478
313.53,310.01,303.23,1092.75,0.91,11.666666666667425
312.65,318.46,305.31,1025.05,17.41,18.333333333332767
313.33,318.85,303.51,909.01,11.19,1.6666666666670458
313.67,310.6,302.61,1118.53,6.59,9.999999999999432
313.82,311.97,303.81,1086.3,2.3,16.666666666666668
312.88,320.28,304.91,970.26,15.33,11.666666666667425
312.9,317.14,304.16,912.23,16.94,9.999999999999432
314.15,308.82,302.7,1095.97,0.69,6.666666666667235
313.55,312.26,303.69,1099.19,19.16,13.333333333332575
312.52,327.42,304.63,1005.71,8.05,15.000000000000568
313.14,314.21,304.33,812.31,17.1,14.999999999999622
314.54,308.2,302.77,1086.3,3.22,3.333333333333144
313.53,313.16,303.73,1037.95,14.41,15.000000000000568
312.56,327.37,304.93,996.04,16.48,6.666666666666288
313.6,310.79,303.97,928.35,17.64,10.00000000000038
314.29,309.34,302.95,1066.96,11.73,11.666666666666478
313.67,313.05,303.57,1105.64,6.67,18.333333333333712
312.91,323.56,304.92,1008.94,18.32,11.666666666666478
313.72,310.33,304.15,889.67,2.99,3.333333333333144
314.07,309.05,302.58,1086.3,17.33,11.666666666666478
313.87,312.78,303.59,1092.75,0.46,15.000000000000568
313.13,321.93,305.25,1018.61,17.78,14.999999999999622
313.19,312.32,303.91,892.89,11.5,8.333333333333334
314.78,308.96,303.15,1060.51,5.9,6.666666666666288
314.08,311.82,303.62,1163.66,4.98,13.333333333333524
314.16,310.97,303.51,973.48,12.72,18.333333333333712
313.15,318.43,305.2,834.87,17.1,8.333333333333334
