Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 312.30, 313.13, 303.95, 135.38,0.00
 312.25, 313.13, 303.97, 119.27,0.00
 312.27, 313.11, 303.96, 67.69,0.00
 312.28, 313.13, 303.96, 67.69,0.00
 312.27, 313.14, 303.95, 90.26,0.00
 312.27, 313.11, 303.95, 125.71,0.00
 312.28, 313.14, 303.95, 80.59,0.00
 312.28, 313.12, 303.95, 109.60,0.00
 312.26, 313.13, 303.97, 67.69,0.00
 312.27, 313.12, 303.96, 83.81,0.00
 312.29, 313.13, 303.96, 93.48,0.00
 312.26, 313.13, 303.96, 148.28,0.00
 312.27, 313.12, 303.96, 119.27,0.00
 312.28, 313.13, 303.95, 77.36,0.00
 312.26, 313.13, 303.97, 122.49,0.00
 312.27, 313.13, 303.97, 96.70,0.00
 312.29, 313.12, 303.95, 0.00,0.00
 312.28, 313.13, 303.96, 106.37,0.00
 312.25, 313.13, 303.96, 67.69,0.00
 312.29, 313.11, 303.95, 103.15,-0.08
 312.29, 313.14, 303.98, 0.00,0.08
 312.24, 313.12, 303.95, 87.03,0.00
 312.27, 313.13, 303.96, 77.36,0.00
 312.30, 313.12, 303.95, 64.47,0.00
 312.25, 313.14, 303.97, 96.70,0.00
 312.26, 313.13, 303.97, 125.71,0.00
 312.30, 313.12, 303.96, 67.69,0.00
 312.27, 313.14, 303.98, 80.59,0.00
 312.26, 313.13, 303.97, 93.48,0.00
 312.27, 313.12, 303.96, 77.36,0.00
 312.29, 313.13, 303.95, 74.14,0.00
 312.27, 313.12, 303.97, 90.26,0.00
 312.26, 313.13, 303.96, 70.92,0.00
 312.29, 313.11, 303.95, 22.56,0.00
 312.26, 313.13, 303.97, 77.36,0.00
 312.27, 313.12, 303.95, 116.04,0.00
 312.29, 313.12, 303.97, 151.50,0.00
 312.26, 313.13, 303.96, 96.70,0.00
 312.26, 313.12, 303.96, 96.70,0.00
 312.27, 313.13, 303.97, 70.92,0.00
 312.28, 313.12, 303.96, 67.69,0.00
 312.25, 313.13, 303.96, 103.15,0.00
 312.29, 313.13, 303.96, 51.58,0.00
 312.28, 313.12, 303.96, 80.59,0.00
 312.25, 313.13, 303.97, 70.92,0.00
 312.28, 313.12, 303.96, 128.94,0.00
 312.28, 313.13, 303.96, 77.36,0.00
 312.26, 313.12, 303.95, 54.80,0.00
 312.28, 313.13, 303.95, 58.02,0.00
 312.26, 313.13, 303.96, 90.26,0.00
 312.28, 313.12, 303.96, 77.36,0.00
 312.26, 313.12, 303.97, 109.60,0.00
 312.30, 313.12, 303.96, 109.60,0.00
 312.27, 313.12, 303.97, 112.82,0.00
 312.26, 313.13, 303.98, 103.15,0.00
 312.29, 313.12, 303.96, 96.70,0.00
 312.27, 313.13, 303.96, 135.38,0.00
 312.26, 313.13, 303.96, 74.14,0.00
 312.28, 313.12, 303.98, 138.61,0.00
 312.27, 313.13, 303.94, 128.94,0.00
 312.26, 313.12, 303.96, 219.19,0.07
 312.25, 313.14, 303.85, 261.10,0.00
 312.32, 313.11, 303.99, 328.79,0.00
 312.25, 313.09, 303.94, 406.15,0.08
 312.27, 313.18, 303.94, 489.96,0.00
 312.21, 313.08, 303.94, 577.00,0.08
 311.97, 313.26, 303.88, 670.48,0.08
 312.10, 313.13, 304.07, 892.89,0.00
 312.13, 313.11, 303.72, 809.08,0.07
 311.84, 312.77, 304.41, 915.46,0.08
 312.14, 313.16, 303.96, 1105.64,0.08
 312.33, 310.42, 303.31, 1234.58,0.38
 313.03, 308.98, 302.71, 976.70,6.82
 311.60, 314.37, 304.84, 1121.76,2.76
 312.84, 311.80, 303.41, 1153.99,5.98
 312.45, 308.49, 304.10, 1141.10,5.67
 312.65, 314.70, 303.98, 1008.94,8.82
 312.24, 312.29, 304.53, 950.92,10.20
 312.27, 318.79, 302.81, 1037.95,6.82
 312.26, 311.53, 304.80, 1128.21,11.65
 312.16, 317.84, 303.24, 1092.75,12.49
 312.60, 310.73, 304.41, 1086.30,14.57
 312.49, 315.07, 303.47, 1047.62,15.56
 312.28, 311.48, 304.28, 1034.73,16.79
 312.58, 313.93, 303.48, 1031.50,19.16
 312.32, 313.46, 303.85, 1031.50,17.78
 312.63, 312.83, 303.80, 1018.61,17.71
 312.29, 313.74, 303.94, 1054.07,18.94
 312.70, 313.33, 303.80, 1021.83,18.78
 312.74, 310.74, 304.30, 1054.07,19.32
 312.43, 314.51, 303.76, 1012.16,20.77
 312.91, 313.62, 303.72, 934.80,20.24
 312.56, 312.67, 303.71, 1015.38,20.24
 312.73, 311.87, 303.94, 1054.07,21.01
 312.82, 312.73, 303.81, 1034.73,22.23
 312.71, 313.53, 304.01, 992.82,21.62
 312.93, 314.38, 303.71, 1031.50,22.08
 312.84, 314.39, 303.90, 1021.83,22.31
 313.10, 314.91, 303.67, 1008.94,21.93
 312.93, 315.10, 304.22, 950.92,21.46
 312.84, 315.92, 303.74, 999.27,22.23
 313.14, 314.93, 303.73, 986.37,21.85
 312.94, 314.06, 303.87, 986.37,22.54
 313.08, 314.20, 303.98, 973.48,22.62
 313.21, 312.03, 304.16, 1028.28,22.46
 313.27, 311.58, 304.04, 979.93,22.62
 313.21, 312.44, 303.90, 992.82,22.54
 313.02, 311.72, 303.89, 999.27,21.54
 313.53, 312.48, 303.58, 967.03,23.23
 313.50, 314.71, 303.88, 979.93,22.00
 313.36, 314.78, 303.55, 944.47,22.84
 313.31, 312.72, 303.80, 963.81,21.16
 313.47, 312.76, 303.85, 448.06,22.31
 313.51, 312.36, 303.94, 967.03,21.70
 313.55, 312.03, 304.00, 986.37,21.77
 313.30, 311.64, 303.96, 1099.19,21.01
 313.59, 312.02, 303.87, 1021.83,21.62
 313.78, 312.27, 303.84, 996.04,21.54
 313.49, 312.49, 303.90, 989.60,22.08
 313.83, 311.90, 303.92, 996.04,21.62
 313.82, 312.89, 303.87, 979.93,22.08
 313.72, 313.44, 303.90, 1034.73,22.08
 313.84, 313.83, 303.83, 1012.16,22.31
 313.86, 314.46, 303.58, 1021.83,22.39
 313.93, 314.61, 303.67, 1076.63,21.62
 313.95, 314.81, 303.75, 1047.62,22.54
 313.89, 314.23, 303.77, 1044.40,22.31
 313.93, 313.91, 303.93, 1083.08,22.77
 314.08, 312.51, 303.85, 1021.83,22.23
 314.01, 312.35, 304.07, 983.15,23.00
 314.06, 310.97, 304.02, 986.37,21.31
 314.21, 311.26, 303.87, 950.92,21.93
 314.17, 311.35, 303.75, 1092.75,22.31
 314.16, 312.61, 303.89, 967.03,22.62
 314.20, 312.93, 303.92, 957.36,21.39
 314.25, 313.67, 303.95, 954.14,22.16
 314.39, 313.60, 303.86, 970.26,21.31
 314.40, 313.59, 303.79, 938.02,21.47
 314.49, 314.00, 303.69, 979.93,21.23
 314.52, 314.94, 303.83, 921.90,21.70
 314.54, 315.10, 303.75, 960.59,22.31
 314.44, 314.04, 303.83, 1563.37,22.16
 314.66, 312.78, 303.90, 915.46,22.00
 314.68, 311.70, 303.92, 970.26,21.62
 314.63, 312.26, 303.87, 931.58,22.38
 314.64, 311.52, 303.94, 941.25,22.54
 314.68, 311.15, 303.93, 928.35,22.54
 314.77, 311.69, 303.88, 880.00,22.61
 314.80, 311.87, 303.78, 909.01,22.31
 314.72, 312.20, 303.95, 1025.05,22.31
 314.84, 312.16, 303.91, 889.67,21.39
 314.94, 313.73, 303.93, 909.01,21.85
 314.90, 314.01, 303.90, 892.89,21.62
 315.00, 314.38, 303.90, 912.23,22.00
 314.96, 315.33, 303.81, 902.56,21.23
 315.05, 314.64, 303.84, 909.01,21.85
 315.12, 313.64, 303.81, 1279.71,21.77
 315.04, 313.74, 303.97, 870.33,22.08
 315.13, 312.90, 304.03, 889.67,21.70
 315.13, 311.46, 304.07, 909.01,21.85
 315.25, 312.12, 304.05, 902.56,22.23
 315.21, 311.81, 304.01, 828.42,22.54
 315.32, 311.66, 303.96, 870.33,22.69
 315.27, 311.59, 303.99, 889.67,22.31
 315.36, 312.51, 304.07, 876.78,22.85
 315.40, 312.11, 304.00, 841.32,22.23
 315.39, 311.75, 304.00, 857.44,22.62
 315.41, 311.75, 303.99, 854.21,21.92
 315.38, 312.02, 304.04, 863.88,22.38
 315.57, 312.48, 303.95, 863.88,21.85
 315.57, 312.51, 304.03, 889.67,22.16
 315.57, 313.35, 303.97, 838.10,21.85
 315.53, 314.66, 303.93, 805.86,22.08
 315.66, 314.89, 303.94, 854.21,21.39
 315.61, 314.88, 303.90, 850.99,21.39
 315.72, 315.46, 303.87, 863.88,21.93
 315.67, 314.39, 304.05, 867.11,21.46
 315.75, 313.06, 303.94, 815.53,22.16
 315.72, 312.77, 304.00, 863.88,21.85
 315.86, 311.89, 304.11, 860.66,22.92
 315.79, 311.89, 304.12, 867.11,23.23
 315.87, 311.54, 304.16, 1041.17,23.38
 315.89, 312.00, 304.08, 825.20,23.23
 315.88, 312.33, 304.09, 850.99,24.45
 315.98, 313.04, 304.08, 854.21,23.69
 315.89, 312.68, 304.18, 770.40,23.92
 316.03, 312.44, 304.13, 892.89,24.30
 316.00, 313.80, 304.12, 886.45,24.84
 316.09, 314.48, 304.04, 892.89,24.99
 316.04, 315.36, 304.08, 867.11,24.07
 316.15, 315.24, 303.97, 889.67,25.22
 316.22, 315.19, 304.11, 880.00,24.68
 316.18, 313.37, 304.18, 844.54,25.15
 316.34, 313.40, 304.09, 886.45,25.53
 316.28, 311.89, 304.14, 873.55,25.76
 316.33, 311.77, 304.22, 847.77,24.91
 316.27, 312.63, 304.12, 854.21,24.84
 316.49, 311.71, 304.14, 834.87,24.99
 316.38, 312.64, 304.16, 844.54,24.76
 316.42, 312.15, 304.20, 876.78,25.37
 316.60, 312.65, 304.33, 863.88,26.37
 316.57, 313.27, 304.21, 818.75,27.06
 316.57, 315.63, 304.15, 825.20,26.37
 316.64, 315.44, 304.19, 899.34,24.23
 316.58, 316.45, 304.22, 493.19,24.45
 316.60, 317.44, 304.07, 876.78,25.22
 316.74, 313.76, 304.23, 693.04,23.38
 316.71, 314.97, 304.14, 847.77,24.38
 316.75, 311.73, 304.37, 825.20,25.60
 316.94, 312.29, 304.38, 825.20,24.53
 316.92, 311.08, 304.31, 870.33,25.37
 316.99, 310.93, 304.29, 880.00,25.07
 316.83, 312.13, 304.30, 815.53,25.99
