Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 306.89, 313.13, 306.73, 77.36,0.00
 306.91, 313.13, 306.72, 96.70,0.00
 306.91, 313.14, 306.70, 135.38,0.00
 306.90, 313.14, 306.72, 119.27,0.00
 306.89, 313.14, 306.72, 109.60,0.00
 306.92, 313.14, 306.70, 103.15,0.00
 306.88, 313.14, 306.73, 154.73,0.00
 306.90, 313.14, 306.71, 109.60,0.00
 306.92, 313.13, 306.70, 109.60,0.00
 306.90, 313.13, 306.72, 96.70,0.00
 306.91, 313.14, 306.71, 96.70,0.00
 306.90, 313.13, 306.73, 132.16,0.00
 306.92, 313.13, 306.70, 128.94,0.00
 306.91, 313.13, 306.72, 122.49,0.00
 306.90, 313.13, 306.71, 116.04,0.00
 306.92, 313.13, 306.70, 93.48,0.00
 306.88, 313.14, 306.73, 128.94,0.00
 306.93, 313.13, 306.70, 103.15,0.00
 306.89, 313.14, 306.73, 128.94,0.00
 306.91, 313.13, 306.71, 103.15,0.00
 306.92, 313.13, 306.70, 80.59,0.00
 306.89, 313.14, 306.72, 103.15,0.00
 306.92, 313.13, 306.70, 116.04,0.00
 306.88, 313.15, 306.73, 106.37,0.00
 306.91, 313.13, 306.70, 109.60,0.00
 306.90, 313.14, 306.70, 138.61,0.00
 306.90, 313.13, 306.73, 109.60,0.00
 306.92, 313.14, 306.70, 109.60,0.00
 306.90, 313.13, 306.72, 70.92,0.00
 306.91, 313.13, 306.71, 122.49,0.00
 306.90, 313.13, 306.71, 109.60,0.00
 306.91, 313.14, 306.71, 122.49,0.00
 306.91, 313.14, 306.70, 90.26,0.00
 306.89, 313.13, 306.73, 106.37,0.00
 306.91, 313.13, 306.71, 103.15,0.00
 306.91, 313.13, 306.71, 309.45,0.00
 306.91, 313.14, 306.72, 132.16,0.00
 306.90, 313.13, 306.72, 122.49,0.00
 306.92, 313.13, 306.70, 135.38,0.00
 306.90, 313.13, 306.71, 106.37,0.00
 306.90, 313.13, 306.71, 116.04,0.00
 306.92, 313.13, 306.71, 22.56,0.00
 306.91, 313.13, 306.70, 109.60,0.00
 306.89, 313.14, 306.73, 135.38,0.00
 306.89, 313.13, 306.72, 141.83,0.00
 306.94, 313.13, 306.68, 112.82,0.00
 306.89, 313.13, 306.73, 103.15,0.00
 306.91, 313.13, 306.71, 151.50,0.00
 306.91, 313.14, 306.71, 87.03,0.00
 306.89, 313.13, 306.70, 138.61,0.00
 306.90, 313.13, 306.71, 70.92,0.00
 306.88, 313.14, 306.71, 154.73,0.00
 306.93, 313.13, 306.68, 138.61,0.00
 306.88, 313.13, 306.75, 112.82,0.00
 306.89, 313.14, 306.74, 161.17,0.00
 306.93, 313.13, 306.70, 125.71,0.00
 306.91, 313.15, 306.73, 122.49,0.00
 306.91, 313.13, 306.71, 6.45,0.00
 306.91, 313.15, 306.71, 167.62,0.00
 306.90, 313.15, 306.71, 154.73,0.00
 306.90, 313.13, 306.68, 183.74,0.08
